Date	CrawlDate	PostedDate	Company	Country	Type	Title	URL	Score	Keywords	Locations	Matched	Decision
2026-06-02	2026-06-02		Siemens	Germany	Job	Job Search | Careers Marketplace - Siemens	https://jobs.siemens.com/nl_NL/externaljobs/SearchJobs/?42386=%5B812132%5D&42386_format=17546&42389=%5B39106405%2C144468627%2C102122%2C102134%2C102127%5D&42389_format=17549&42390=%5B102155%2C102156%2C102157%2C102158%5D&42390_format=17550&listFilterMode=1&folderRecordsPerPage=9&acz=1&gad_source=1&gad_campaignid=22145011592&gbraid=0AAAAADEuPPMyJNgoWK6259Pvtj28zRinJ&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxJmEyEMgRhsNpWNBs2CTtWxpEEVypzsHBAepKJh_FJ6ZQbC6twdIlUaAodaEALw_wcB	40	FSI, Design	Germany	False	Below threshold
2026-06-02	2026-06-02		Ramboll	Germany	Job	Positionen & Richtlinien – Verantwortung und Leitlinien bei Ramboll - Ramboll	https://www.ramboll.com/de-de/positions-and-policies	40	CFD	Germany	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Ground Systems Engineer (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4848275101	40	Fluid, Design	Germany	False	Below threshold
2026-06-02	2026-06-02		ÒKAPI	Germany	Job	Mission Design Engineer (m/w/d) | Jobs at OKAPI:Orbits GmbH	https://okapiorbits.jobs.personio.de/job/2171060	40	Simulation, Design	Germany	False	Below threshold
2026-06-02	2026-06-02		Aerzen	Germany	Job	Job offers - Aerzen	https://www.aerzen.com/career/job-offers	36		Germany, Netherland, Austria, UK, France, Italy, Australia	False	Below threshold
2026-06-02	2026-06-02		Aerzen	Germany	Job	Working for AERZEN - Aerzen	https://www.aerzen.com/career/joining-aerzen	36		Germany, Netherland, Austria, UK, France, Italy, Australia	False	Below threshold
2026-06-02	2026-06-02		Grob Aircraft	Germany	Job	Offene Stellen - Grob Aircraft SE	https://jobs.grob-aircraft.com/jobs	35	Simulation, Design	UK	False	Below threshold
2026-06-02	2026-06-02		AIP Services	Germany	Job	Jobs: Entwicklungsingenieur Leistungselektronik (m/w/d) in Altenstadt | Aviation Industry Personnel SERVICES GmbH	https://k21840.coveto.de/job-entwicklungsingenieur-leistungselektronik-m-w-d-altenstadt-14261.html	35	Simulation, Design	UK	False	Below threshold
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Electrical Technician - UK/Shetlands at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4843587101	35	Fluid, Design	UK	False	Below threshold
2026-06-02	2026-06-02		MTU	Germany	Job	Development and technology - MTU Aero Engines	https://www.mtu.de/careers/job-areas/development-and-technology/	35	Aerodynamics, Design	Germany	False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - Computer Vision – Helsing	https://helsing.ai/jobs/4334842101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - AI Safety – Helsing	https://helsing.ai/jobs/4334849101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - ML & Signal Processing – Helsing	https://helsing.ai/jobs/4372802101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - Robotics – Helsing	https://helsing.ai/jobs/4423924101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - Reinforcement Learning – Helsing	https://helsing.ai/jobs/4676357101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - Foundation Models – Helsing	https://helsing.ai/jobs/4766708101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		Helsing	Germany	Job	AI Research Engineer - ML Engineering – Helsing	https://helsing.ai/jobs/4778869101	35	Research Engineer		False	Below threshold
2026-06-02	2026-06-02		EDAG	Germany	Job	Vacancies - EDAG Group	https://www.edag.com/en/career/vacancies	32	Design	Germany, Netherland, Austria, UK, Italy	False	Below threshold
2026-06-02	2026-06-02		volkswagen	Germany	Job	Hardwareentwickler im Bereich HV Batterie- oder Lenksysteme (m/w/d) Stellendetails | Volkswagen AG	https://jobs.volkswagen-group.com/Volkswagen-Group-Services/job/Braunschweig-Hardwareentwickler-im-Bereich-HV-Batterie-oder-Lenksysteme-%28mwd%29-38112/1287998801/	30	Simulation, Design		False	Below threshold
2026-06-02	2026-06-02		EP Mannheim	Germany	Job	Elektrokonstrukteur EPLAN (m/w/d)	https://www.ep-group.de/job/NU1382382	30	Berechnung	UK	False	Below threshold
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern (f/m/d) Optimization engineer - Mission Analysis at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4823963101	30	Simulation, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern (m/f/d) Mathematical Modeling at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4824842101	30	Simulation, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern (m/f/d) Guidance, Navigation and Control (GNC) and Flight Dynamics at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4824893101	30	Simulation, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern(f/m/d) Avionics Hardware Development (Mechanical/Electronics) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4826269101	30	Simulation, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern (m/f/d) Software Engineer Mission Analysis at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4828112101	30	Simulation, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern(m/f/d) Propulsion Test Data Engineer at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4830984101	30	Fluid, Design		False	Skipped noise
	2026-06-02		Rocket Factory	Germany	Job	Job Application for Intern (m/f/d) Launch Systems Engineering at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4841879101	30	Fluid, Design		False	Skipped noise
2026-06-02	2026-06-02		EDAG	Germany	Job	Apprenticeship Production Solutions - EDAG Group	https://www.edag.com/en/career/apprenticeship-dual-study-program/apprenticeship-production-solutions	30	Simulation, Design		False	Below threshold
2026-06-02	2026-06-02		EDAG	Germany	Job	Dual study program - EDAG Group	https://www.edag.com/en/career/apprenticeship-dual-study-program/dual-study-program	30	Simulation, Design		False	Below threshold
2026-06-02	2026-06-02		EDAG	Germany	Job	Production planning jobs in an efficient team - EDAG Group	https://www.edag.com/en/career/professional-fields/production-and-logistics-planning	30	Simulation, Design		False	Below threshold
2026-06-02	2026-06-02		EDAG	Germany	Job	Technical Product Designer Jobs: Make Ideas Come True - EDAG Group	https://www.edag.com/en/career/professional-fields/technical-product-design	30	Simulation, Design		False	Below threshold
2026-06-02	2026-06-02		EDAG	Germany	Job	eSports - EDAG Group	https://www.edag.com/en/career/we-as-an-employer/esports	30	Simulation, Design		False	Below threshold
